"kolcsonzes_szama";"ugyfel";"rendszam";"automarka";"automodell";"napi_dij";"mettol";"meddig"
"1";"Kovács János";"AA-AB-123";"Volkswagen";"Golf 8";"18000";"2025-01-10";"2025-01-15"
"15";"Kovács János";"AA-AB-123";"Volkswagen";"Golf 8";"18000";"2025-08-10";"2025-08-15"
"30";"Kovács János";"AA-CD-456";"Toyota";"Corolla";"22000";"2026-02-16";"2026-02-20"
"10";"Kovács János";"AE-BC-789";"Tesla";"Model 3";"45000";"2025-06-01";"2025-06-10"
"25";"Kovács János";"AA-ZZ-999";"Ford";"Transit";"25000";"2026-01-15";"2026-01-20"
"20";"Kovács János";"AA-EE-222";"Fiat";"500e";"15000";"2025-11-01";"2025-11-05"
"2";"Nagy Andrea";"AA-CD-456";"Toyota";"Corolla";"22000";"2025-01-12";"2025-01-20"
"16";"Nagy Andrea";"AA-CD-456";"Toyota";"Corolla";"22000";"2025-09-01";"2025-09-10"
"11";"Nagy Andrea";"AA-ZZ-999";"Ford";"Transit";"25000";"2025-06-12";"2025-06-15"
"26";"Nagy Andrea";"AE-XX-111";"BMW";"X5";"55000";"2026-01-25";"2026-01-30"
"6";"Nagy Andrea";"AA-EE-222";"Fiat";"500e";"15000";"2025-03-15";"2025-03-18"
"21";"Nagy Andrea";"AA-FF-333";"Skoda";"Octavia";"19500";"2025-11-10";"2025-11-15"
"22";"Tóth Péter";"AA-AB-123";"Volkswagen";"Golf 8";"18000";"2025-12-01";"2025-12-08"
"3";"Tóth Péter";"AE-BC-789";"Tesla";"Model 3";"45000";"2025-02-01";"2025-02-05"
"17";"Tóth Péter";"AE-BC-789";"Tesla";"Model 3";"45000";"2025-09-15";"2025-09-20"
"12";"Tóth Péter";"AE-XX-111";"BMW";"X5";"55000";"2025-07-05";"2025-07-12"
"27";"Tóth Péter";"AA-EE-222";"Fiat";"500e";"15000";"2026-02-01";"2026-02-05"
"7";"Tóth Péter";"AA-FF-333";"Skoda";"Octavia";"19500";"2025-04-01";"2025-04-07"
"8";"Szabó Zoltán";"AA-AB-123";"Volkswagen";"Golf 8";"18000";"2025-04-10";"2025-04-15"
"23";"Szabó Zoltán";"AA-CD-456";"Toyota";"Corolla";"22000";"2025-12-15";"2025-12-22"
"4";"Szabó Zoltán";"AA-ZZ-999";"Ford";"Transit";"25000";"2025-02-10";"2025-02-12"
"18";"Szabó Zoltán";"AA-ZZ-999";"Ford";"Transit";"25000";"2025-10-05";"2025-10-08"
"13";"Szabó Zoltán";"AA-EE-222";"Fiat";"500e";"15000";"2025-07-20";"2025-07-22"
"28";"Szabó Zoltán";"AA-FF-333";"Skoda";"Octavia";"19500";"2026-02-10";"2026-02-14"
"29";"Kiss Mária";"AA-AB-123";"Volkswagen";"Golf 8";"18000";"2026-02-15";"2026-02-18"
"9";"Kiss Mária";"AA-CD-456";"Toyota";"Corolla";"22000";"2025-05-20";"2025-05-25"
"24";"Kiss Mária";"AE-BC-789";"Tesla";"Model 3";"45000";"2026-01-05";"2026-01-10"
"5";"Kiss Mária";"AE-XX-111";"BMW";"X5";"55000";"2025-03-05";"2025-03-10"
"19";"Kiss Mária";"AE-XX-111";"BMW";"X5";"55000";"2025-10-15";"2025-10-22"
"14";"Kiss Mária";"AA-FF-333";"Skoda";"Octavia";"19500";"2025-08-01";"2025-08-05"
